Respondent ID,How many residents participated,Postal code (if residents are from the same neighbourhood),Indigenous,Black,Racialized,Youth,Women,Seniors,LGBTQ2S+,"Newcomers (less than 1 years in Canada,  refugees, migrants, undocumented peoples)","People with disabilities (physical, mental and/or with preexisting medical conditions)","Low-income/fixed income, precariously employed, underemployed or unemployed",Persons experiencing homelessness,Underhoused or precariously housed,Consumer survivors,Persons facing addiction challenges,Gender-based violence survivors,Incarcerated or formerly incarcerated,Persons who face cultural or religious discrimination,Ways in which you were personally impacted,"Supports, programs and services you were accessing before COVID-19",Urgent supports needed,Long term opportunities to make improvements,Three priorities for City,"Recommendations to create jobs, support small business and boost local economic development","Supports needed to share concerns, ideas and solutions with decision-makers at City Hall","Ideas on how the City, other levels of government, community partners and organizations can support your community to reduce greenhouse gas emissions and be better prepared to face the impacts of climate change","Successful actions or ideas that you, your business, your community, or your neighbourhood have implemented in response to the pandemic, that others can learn from and build on together?",Other comments or input that you would like the City to consider in planning for the COVID-19 recovery and rebuild process:,,,,, 
11814369962,15,M9M,,1,1,1,1,1,,1,,1,,,,,1,,,"Friend or family contracted COVID-1   Experienced family or friend death due to COVID-1  Lost employment or income  Lost access to child care  Loss of personal care support from family, friends, neighbours, or a community agency due to physical distancing requirements  Lost access to critical programs or services  Felt sad, anxious, overwhelmed, or lonely   Increased exposure to domestic violence or other types of abuse within my household  Had to visit a food bank or access food programs","Mental health supports and/or supports to address social isolation   Child care and children's programs   Youth services, programs and spaces  Seniors' care and seniors programs   Access to recreational facilities or programming  Access to libraries and library services   Advocacy supports (e.g. community and specialty legal clinics)   Food banks and other food security programs  Parks and public spaces   Space for people to meet safely in communities or to deliver important community programs and services in person or virtually   ",Childcare,Virtual Access to Programs - having the means to access virtual platforms e.g Laptops,Immigration  Education  Gender-based/domestic violence/child abuse/trafficking  ,"Provide more support to community agencies more who work at grassroots levels to engage community members.   Collaborate with community agencies, employers to provide robust employment support and opportunities to individuals.  Government funded employment trainings e.g CPR, First Aid, Food Handling.  Support individuals to go to school through financial support in order to become contributing members after their education, and becoming gainfully employed.","Include parents in the decision-making process e.g the current decision to have one week in school and one week at home should have included parents, especially, as it is affecting single parents who will have difficulty, coordinating the kids and finding work.  ","Having mandatory classes for all adult citizens, newcomers etc on topics related to greenhouse emissions.   Include in school curriculum  ","1. Apartment buildings took initiatives to curb the number of people in each elevator (not more than 2).    2. Self-care e.g building immune system using natural remedies – ginger, garlic and supplements. It should be publicized that ginger or boosting immune system can be a great help in addition to taking other measures such as masks, gloves, distancing etc.    1. On the issue of anxiety, panic and fear, took measures to pass key messaging to kids and friends with emotional support, re-assurance and positive affirmations, helping to build coping strategies.","1.	Put procedures in place for example, at daycares expand facilities to accommodate kids to ensure social distancing.    2.	Keep the borders closed until they find vaccine for covid-1.    1.	Support low-income workers irrespective of working in front-line or not. E.g many low-income are vulnerable because they take public transit to get to work.   Also, there is tendency for many low-income workers who are not front-line workers and does not qualify for CERB or Top-up to quit their jobs or feel less motivated as they feel excluded.   There is news that many on social assistance and ODSP are allowed to take CERB. This makes low-income workers feel unhappy that they work and still earn less than someone on social assistance earns.   A top-up that includes all low-income workers of certain income level will encourage people to go back to work or to stay on their jobs as an incentive.  ",,,,,
11814338518,20,M5T,,,1,1,1,1,1,1,1,1,,1,,,,,1,,,"- Rent reflief  - Food security   - Universalize CERB (especially for immigrants and migrant workers)  - Extending moratorium on evictions   - Targeted commercial subsidies for small businesses in racialized neighbourhoods  - Higher hazard pay for public facing workers  - More COVID-1 information in non-official languages (i.e French, Vietnamese, Tagalog , Mandarin and Cantonese)",Collaborative and less suspicious stance working with the Chinese-Canadian community and diaspora in implementing new policies and procedures regarding COVID-1   - Extending COVID policies and benefits to informal workers ,"- Universal basic income at a living wage for Toronto   - Protections against evicting small business owners and commercial spaces  - For the Federal and Provincial government to provide the City with more monetary support for public services, i.e public transportation, social services, childcare, community centres and so forth. ","- Economic stimulus at the grassroots for businesses with 1 or less staff members  - Support for grassroots and community-led neighbourhood initiatives without institutional barriers to access funding   - Increase the minimum wage to a living wage and reduce the average work week, which would create more jobs in the long-term, and increased wages would allow people to invest more money into the local economy  - The City and/or other levels of government support these solutions by de-funding superfluous departments such as Police Services and reallocating this budget to support these services","- Better access to interpretation services for the languages spoken by community members (which may be non-official languages)  - The City should exercise receptive scheduling to the community's time frames  - Prioritize facilitating and organizing participation by members of the community and community organizations that are already active and expressing their concerns, rather than having to contract larger institutions that have long-standing relationships with the City ",- Fund the TTC!   - Increased cycling infrastructure ,"- Mutual aid initiatives  - However, its been difficult in Chinatown to organize responses to the pandemic due to systemic barriers to community participation  ","- The implications of COVID-1 are going to affect low-income, racialized and precarious populations the most. After COVID-1, these issues will remain, and the City shouldbe prepared to continue supporting these communities after COVID-1 is gone",,,,,
11807650308,20,M9m,,,,,1,,,,,,,,,,,,,"Business service, struggling to pay bills, mortgage, anxious, self employeef","Small business support, strong community. ","Programs, services ",Phone in help long times on phone etc. Line ups inproved,,"Grants, loans, online hard to get into the system","Have more video conference, where to get help, shelters, etc",,,"More shelters, gala for the first responders, ",,,,,
11803656950,8,M4H,,,1,,1,,,1,1,1,,,,,,,1,"All participants are affected differently by COVID-1. None of them contracted COVID-1. Everyone feels depression and anxiety due to low incomes, unemployment, and overloading in-home chores, cleaning, sanitizing, and long hours waiting for groceries shopping. For example, a participant was working with ** for almost over a year but due to the COVID-1, she lost her job, and feel unexpected anxiety caused by high rent payment and low incomes for family expenses. Besides that, a participant son also lost his job due to COVID-1, which definitely affected his family for low income and the creation of financial constraints. Besides all the above, since the whole participants’ family and friends are living in ** and some affected by COVID-1, thus it also created extra anxiety for the loss of their beloved ones in ** here in Canada.     During the quarantine and COVID-1, participants have not reported domestic violence, but for sure they shared their experiences about intense pressure on their multiple burdens for home chores, cleaning, sanitizing, and long-standing for groceries lineups, a smaller number of counters, and in some cases discriminatory behaviors. For instance, a participant wearing a headscarf and said, “One day when I was outside for my personal stuff, a white woman told me this pandemic is only because of you guys.” In another case, a participant said, “I was in the lineup to the entrance of Cherry Garden, but someone verbally attacked me, however, I was considering the social distance and wearing a mask.” another participant of this survey also faced almost the same kind of discrimination in a supermarket and she shared her worries about the situation and said, “it seems like people are living in shocking and at any possible ways trying to behave in discriminatory ways with hateful expressions.”    The survey participants did not report about the available threat to get out of their dwell by property owners, however, they shared their concerns from the increase of rent from 1% to 21% his year. They discussed the disproportionate relations between the increase of rent payments and minimum wages and its negative effect on social and economic aspects. Because before and during the pandemic unemployment and low income have been remained a big concern at the country level. ","Majority of services listed above where provide to the participants.   However the Wellness Café group before pandemic planned to conduct an Afghan traditional exhibition to display works of arts in clothes, cooking, and traditional values in order to engage positively in Toronto's multicultural city. But unluckily it canceled due to quarantine and the COVID-1 bans.  Participants’ informed from the availability of diverse types of supports before the COVID—1, such as skill supports for employment, small-business support, public libraries and many more…… however it limited during the pandemic and the situation get hard to access public services in different offices due to the minor number of staff and busy phone helplines. In tax filling, for example, participants’ have been facing to find places and volunteers for this year's tax filing, and when they find a community so they mostly waiting for long hours in phone calls. Besides that, some participants were illustrating the slow paper works of IRCC as well.   During epidemic services that increased than before are in senior support, food, security, and mental health and access to technology for virtual meetings, conferences, and learning purposes. For instance, using Zoom App and maybe many others.   ","-	Immigration paper works must re-arrange to the normal turn as before the epidemic.   -	The government helplines are not adequate to respond to clients and providing services, thus it needs to speed up through hiring more staff and expanding helplines services. It could decrease the unemployment rate and promote economy during the pandemic and lastly will diminish the COVID-1 vires spreading at the country level. Overall, the increase of online jobs will help the nation in social and economic aspects and promote a more healthy and safe space.    -	One of the participants said, “Overall services are going very slow. For example, people have money but couldn’t proceed with it for business purposes.” She added in another case, workers for example in construction workers are intensively busy and they might face health issue and they may need health support during work, but they could not access it because all medical staff is busy with COVID—1 patients.    ","All participants were unsatisfied with the performance of organizations for finding jobs, such as YMCA, Skills for Change, etc. They specifically pointed out two challenges within these organizations: The organizations’ staff capacity is not at the level to work and find a job for people in different professions (participants are not satisfied with only resume writing training). They mentioned organizations technically could not provide effective support for their clients in terms of findings jobs and introducing them into related agencies. For example, a participant has filled her resume in the YMCA for finding a job, but finally, after over a year she finds a job by herself.    The survey participants recommend bringing reforms and rearranging these organizations’ platforms for better services. ","Participants suggest financial supports should be discussed between the city, provincial, and federal levels in order to provide better solutions for unemployment and supporting small businesses to promote the economy. ","The government should provide grants instead of loans and link the small businesses with the communities in order to support the poor.   Big businesses should protect small businesses. And these supports should be designed for the longer term in order to build economy. And the economy should not be in competitive mode, instead, it should be turned to the supportive mode.   The peoples’ voices always should be heard, and the government should go ahead accordingly. For this purpose, the consultation process from the people should be expanded and it should not be relying only on surveys. The participants brought an example of government support for individuals which is temporary, not enough, and creates dependency. instead, long-term skills training for low-income families should be planned. ","All, appreciate this consultation and the opportunity for provided to share our voice at the city and country levels to decisions making for a decent life for all. They also suggested continuing the dialogue between community and decision-makers at the city hall on thematic topics.","Participants had the three following recommendations:  -	To achieve this particular goal, participants suggest the old cars must be collected and destroyed.   -	Using bike should be advocated widely  -	Bike share for low-income community members should be free.   ","However, with the current pandemic, all people affected badly due to low income, unemployment, and family expenses and many other problems including loss of their relatives as mentioned above.  However, we (Women's Wellness Café) tried to treat at least our group positively through spiritual healing practices. For this purpose, specifically, in the first month of quarantine, we regularly divided the 1 chapters of the Holy Quran among the group members to recite. Further, we continued our virtual online weekly group meetings to share the COVID-1 experience,  and check-in in order to overcome the problems. Moreover, we held a number of women’s cycling network virtual meetings for the cyclist women of our group and attended to the distribution of donating bikes and the Bike match initiative to support a healthy life. ","COVID-1 should be considered not only as a threat but also as an opportunity to review, reform all the services provided to the communities, and current emergency response system and role of government and community organizations as well as the small-business.  ",,,,,
11803563228,4,multi,,,1,,1,1,,,,1,,,,,,,1,"The COVID-1 Pandemic personally impacted this group as follows:    - Friends or family contracted COVID-1   - Experienced family or friend death due to COVID-1  - Lost employment or income  - Felt sad, anxious, - overwhelmed, or lonely   - Struggled to pay rent or mortgage  - Had to visit a food bank or access food programs","Before COVID-1 the group members accessed the following services/programs:  - income support  - Toronto transit  - Parks and public spaces  - Cultural and heritage programs  - Seniors programs/activities  - Navigation support for non-Laotian programs and Services.  - Space for people to meet safely in communities or to deliver important community programs and services in person or virtually   - Technology support - learn how to use the smartphones, tablets and computers to access internet and social media.","In the next 0-1 months, as the city begins to re-open, we would like the following urgent support:  1. Income support  2. property tax rebates   1. funding for technology and resources to enable our existing programs and services to also can be delivered virtually or on-line in addition to in-person services.    ","Over the longer term, the City, other levels of government and community partners can make the following improvement to programs or services that did not work for our community before COVID-1:  - Enabling more programs and services to be accessible on-line or virtually to allow more people to access and participate virtually using available technology.  This will also ensure that programs or services are always accessible 21/1 even during the pandemic or other emergency lock down situations.  - Providing multi-years funding model instead of annually funded programs to create longer-term stability to organization and minimize interruption of programs and services delivery to the community.  - Creating more low income housing in the city of Toronto for elders or vulnerable populations to ensure that they have safe, healthy and affordable accommodation.  By living in the city, they have easy access to our strong public transit system to allow them to enjoy/participate in many wonderful activities and amenities that our city has to offer.  ",We would like the City to work with the Provincial and Federal to work on the following priorities:  1.  Providing income support or tax rebate to non-profit organization and small businesses.  2. Providing funding for technology and resources for organizations to enabling delivery of virtual programs and services.  1. Creating more affordable housing in Toronto,"The City should work with all level of governments, local business, partner organizations to launch campaigns to create jobs, support small businesses and boost local economy in our community by  - encouraging everyone to buy local  - eating out in neighbourhood restaurants  - supporting small business to enable them to also sell their products/services on-line.  - providing financial support or funding for the struggling businesses to allow them longer time to recover.  - providing tax rebates for business or organizations to help reduce their expenses while they are recovering.  ","To ensure that our community can easily share our concerns, ideas and solution with decision-makers at City Hall, the city should implement Community Input platform and process such as on-line input portal, surveys, focus groups or advisory / consultative committee that is inclusive and fair representative from all groups of population including marginalized groups.  Decision-makers at City Hall also need to allow / consider the Community Input in their decision-making process.","To support our community to reduce greenhouse gas emissions and be better prepared to face the impacts of climate change, the City, other levels of government, community partners and organizations need to do the followings:  -	Enabling more programs, services to be available and accessible online or virtually, by doing so, there will be less people who will need to travel to the physical locations to access the services or programs, less travel, less greenhouse gas emissions.  -	Implementing ‘working from home’ policy for employees to have options to work from home using the technology.  If less people are travelling on the roads and less physical office space is needed, therefore less greenhouse gas emissions and less impacts on climate change.  -	Providing funding to increase the organizations technology capacities to help them implement the ‘Work from Home’ policy and deliver their programs and services virtually.  ","Since the pandemic, our community has come together, virtually via phones, emails, social media, video conferencing, to do everything we could to ensure that everyone's need, especially the most vulnerable ones in the community was taking care for.  Lao Association of Ontario board, staff and volunteers immediately took many actions to response to the pandemic as followed:  1. We identified the most vulnerable members of the community.  2. We assigned the list of identified vulnerable members to staff and volunteers to reach out weekly or as often as needed to ensure their needs are being met.  1. We delivered food and necessary supplies to the most vulnerable members in community.  1. Since early March, our crafty staff and volunteers have been making more than 10 cloth handmade face masks for community members, 1 hospital scrub caps for the area hospitals.  1.  We distributed our Fight COVID-1 Kits (masks, hand sanitizers, groves, handwashing instruction and COVID-1 related infographics) to more than 100 community members.  1. Using the fund from previous fundraising activities, our organization procured needed food items and staples and delivered to elders and most vulnerable families in our community.  1. We continued to provide as much services as we can virtually including assisting community members to access / apply for various government emergency relief benefits programs and supports.  1. We translated and shared daily updates as well as COVID-1 related important information from all levels of government and Public Health authorities with our community via social media, websites, radio programs and by phones when conducting our outreach / checkup calls.  1. During the pandemic, in addition to keeping our community well informed.  We posted/shared meaningful and fun activities on social media platform, such as music, dancing lessons, DIY, cooking, gardening, language learning and others to keep the community members engaged and reduced their social isolation and loneliness.  1. Our volunteers and staff helped teach community members, especially the elders on how to use their smartphones, tablets and computers to access internet, social media to enable them to connect with their families and friends as well as allowing them to participate online with the community.  ","During the COVID-1 recovery and rebuild process, we would like to ask the City to continue to support the existing CSP programs that serve our community most vulnerable members.  Please also consider providing additional funding support for organizations to implement technology to allow them to virtually delivery of services & programs.  ",,,,,
11800093159,20,,,,1,1,1,,,,,1,,,,,,,1,"Lost employment back in march, new employee, daily basis anxiety, making sure in not partaking in activities, family member is medium to high risk  Changed outlook on everyday routine and feelings  Beginnings felt like they were living the same day over and over, repetitive routine made her feel restless  Online school prevented active learning, difficult courses to keep up with  Sports seasons were cancelled  Extra curriculars were cancelled, ex. Camp, councils that stooped meeting irl  Going to campus stopped, big part of lifestyle meeting peers and professors, big change  Closed religious facilities, ex. Mosques. Impacted with coping with stress  prom/graduation cancellations  ","Transportation, ttc, dont feel comfortable or safe using it  Libraries or tims as a convenient workspace  Gym main source for being on top of their health, used to the gym environment, home environment is not ideal for working out  Mosques, especially ramadan lifestyle + socialization, difficult   i feel like society just has a lot of negative energy towards it be it social media or reality it made me passionate about having good takes about public controversies like blm and become more outspoken about it  Hanging out with friends  ","Less accessible/frequent transportation in the gta  Expanding mask/sanitizer distributions for people who dont have access  Produce, groceries, essentials in general for those who cannot go out\  Education resources for risks associated with not wearing a mask or social distancing  As workspaces open up, childcare/daycare options--- extending emergency childcare, helps people especially essential workers  ","Being a lot more flexible in schools, non mandatory/compulsory attendance  Utilize zoom more/online resources  Realizing being at work every single day is not necessary for progression of workplace  Lower tuition costs for those attending online school, impacts international students as well  Opening up more spaces to enjoy while still social distancing, ex. parks/bike lanes reducing car lanes  Spatial reconfiguration of public places  Normalizing distribution of hand sanitizer in public places  -	Lower tuition costs for those attending university online (since this situation also really impacts international students)  ","Education- elementary school/highschool (undoing doug ford’s damage)  Secluded areas outside the city, first nations and indigenous communities accessibility to resources (ex. reserves)  Climate change action, biodiversity, reducing pollution on all fronts collaboratively  Managing mask litter/waste, pushing disposal education  Education cater to students needs interms of coursework/load  Making public transportation feel safe  employment-funding for families who don’t have much of a salary/job cause of Covid  Pollution (water, air) and the disposal of masks awareness   Inventing better reusable masks  ","More online work, not limiting workspaces to the physical office creating opportunities for people who can't make the commute  Programs for retraining people, helping transition   -	Not limiting the workspace to physical spaces like offices  -	Retraining people in jobs/industries that are in demand while peoples original work is recovering  -	If online is not possible in certain situations, ensure to provide supplies such as masks, sanitizer, and etc to make the physical workplace a safer place  ","Decentralizing data collection, small groups lead by people within those specific communities  Virtual (Ex. websites) means dedicated to FAQ’s  Flyers distributed for community apps to find local businesses, connecting community through app  Updating city of toronto resources to be user friendly  -	NextDoor app where you can meet neighbors, share info on local businesses, provide support to those who need it and etc. which people can use to talk and connect  -	Access to stable and reliable internet; some communities are not able to participate in decisions affecting them as they do not have access to this basic necessity  -	Ensure the homeless (who have been greatly impacted by COVID-1) have stable housing options  -	Creating an interactive map on the city website to showcase local community initiatives that people can access to find things they can participate in/ use (in turn having a submission page for local initiatives to submit their projects for better outreach)  ","Push climate change education  Bike sharing options outside of downtown toronto, having them in suburbs to reduce pollution  Holding corporations accountable for pollution and waste they produce  Cutting down on paper waste  -	Holding businesses and corporation accountable for the pollution and waste they produce  -	Provide support to accessing reusable energy options in upgrading homes/businesses (solar panel installation programs)  ","Increased bike lanes, reduces car lanes  Businesses promoting/providing social distancing, sanitizers, masks  Group created of volunteered to deliver essentials to the elderly or vulnerable   Systems of people making and distributing cloth masks when there was a shortage  10+ headbands for essential workers on duty for long hours  Events being moved to digital means, improving accessibility   ","-	More community gardens would be a huge help especially for marginalized communities. It would definitely help people become more self sufficient in terms of food, at least for the short term during the growing seasons.  -	Providing continued economic support to those who need it  -	Restructuring education systems and realizing that being in the physical classroom is important for certain students but redundant for others  -	Charging high tuition for zoom classes is a crime    ",,,,,
11790171505,7,M3C ,,,1,,1,1,,1,1,1,,,,,,,,Most people in the group felt lonely and isolated.   families could not visit each other  Many of the group had to rely on the foodbank and it was hard to make ends meet   Some had lost their job due to the COVID-1  One group member experienced a lot of fighting with her spouse due to bein g confined.  One mother who has ** children said her kids drove her crazy  Another mother and homemaker feels that all she is doing all day is cooking and cleaning after her family,"Income supports  Skills training and employment supports  Small business supports  Parenting programs and supports   Mental health supports and/or supports to address social isolation   Child care and children's programs   Youth services, programs and spaces  Seniors' care and seniors programs   Culture and arts programs   Reliable and safe transit   Access to recreational facilities or programming  Access to libraries and library services   Parks and public spaces   Space for people to meet safely in communities or to deliver important community programs and services in person  Attend outdoor events, festivals etc  ",The group agreed that all of the above needed to be given due priority to get the city back on its feet.   ,"Most members of the group agreed that It was hard to access  programs run by the city, some examples are signing up for recreational programs, there is never enough space to enroll, or the spaces fill up very fast no matter how hard they try. There needs to be better communication.  Policing also needs to improve as there are gaps. Permits are really hard to get for community events.","Policing as there is too many innocent deaths, the crime rate has increased many folds in our neighbourhoods.  Youth programming to get youth the life skills they need to survive and live like responsible citizens. Youth need to be engaged in sports, recreational and vocational programs and there need to be more jobs for young people to keep them busy.  Training and creation of home based jobs like catering, sewing etc","Support local, home based businesses, provide small and medium interest free loans to encourage people to invest in their business.  Build more affordable renting units because rent is very expensive in this city.  Offer training on starting, managing/operating a business from home like home based childcare, tiffin program for people who don't have time to cook  Encourage community organizations to start and support their local residents by starting and running social enterprise ventures","We want our representatives to be in the community and be approachable and take our feedback to City hall. There should be more meetings in the community housing buildings as there are several in both Flemingdon and Thorncliffe Park. There are several grass roots groups that would be very helpful in reaching out to the marginalized groups and encourage them to attend and provide their ideas and concerns. Meetings should be made accessible in terms of locations, timings, and supports like childminding etc. This will enhance and increase the participation of groups from whom we never hear about their concerns.","There are several ways that residents can be educated on using energy more wisely. There can be regular events and meetings focused on talking about climate change and how the residents have the power to reduce greenhouse gas emissions by encouraging residents to reduce, recycle, reuse. Educate residents on creative ways to recycle, reduce and reuse. Explaining the benefits of lessening their household waste and disposing it in the right way can save everyone from the harmful effects of climate change.  Also offering incentives like deposits for glass bottles and jars and cans and plastics   Schools can also play a vital role in educating students at all levels. This should be incorporated in the daily school routine; there could be prizes and incentives for children who come up with and demonstrate that they are climate action champions in their classes and encourage them to educate their parents to be more energy efficient. Local organizations and grassroots groups can also help spread the word through fun activities, fun-fairs and workshops, sewathons, repairathons and neighbourhood swaps. ","When the COVID- 1 hit our city, the residents came together and made over 10 masks for the local hospital to give out to the people who visit the hospital. This meant a concerted effort where the whole community and beyond came together; people donated materials, elastic, thread, sewing machines and residents who know how to sew gave their time to sew facemasks and people who did not know how to sew gave their time to cut the fabric in to the right size, some made deliveries and pick ups.  People donated to the local foodbanks and organizations to keep them well stocked so that people in need could survive during these difficult time.","Ans. The health and safety of the residents should be the top priority for the city, this includes things like rules and conditions aimed at reducing the spread of the COVID-1 virus. Everyone, including individuals, employers and businesses, must follow the orders issued by public health.  While a number of businesses that were required to close initially, and most businesses were required to cease admitting patrons were permitted to sell online or over the phone and arrange delivery or pick-up of purchases. Door-to-door soliciting was also prohibited but delivery was permitted.  The Government has to continue to follow trend of the virus closely and continue with the phased recovery plan that it introduced to ensure that businesses and organizations can resume their activities in a rapid yet safe manner. Progress across all phases should be monitored closely to ensure the health and safety of residents and to limit the resurgence of COVID-1 transmission within the city.  City run facilities like parks, recreation centres, libraries etc if opened, must be kept clean, sanitized and maintain the regulations and guidelines set out by Toronto Public Health to ensure the safety of their employees as well as the residents.  Throughout all the phases, as we progress towards a “new normal” for Toronto, it is critical that everyone observes the public health measures and restrictions to help protect our communities and loved ones.  ",,,,,
11784812010,4,M4H,,,,,1,,,,1,1,,,,1,,,,"Lost employment or income  Had to temporarily close down business or adjust business services   Loss of personal care support from family, friends, neighbours, or a community agency due to physical distancing requirements  Lost access to critical programs or services  Felt sad, anxious, overwhelmed, or lonely   ",Mental health supports and/or supports to address social isolation  Seniors' care and seniors programs   Access to recreational facilities or programming   Advocacy supports (e.g. community and specialty legal clinics)  Parks and public spaces   Access to libraries and library services  ,"Income supports  Small business supports  Seniors' care and seniors programs   Affordable housing  Access to recreational facilities or programming  Access to libraries and library services   Advocacy supports (e.g. community and specialty legal clinics)   Food banks and other food security programs  Parks and public spaces   Space for people to meet safely in communities or to deliver important community programs and services in person or virtually   Opportunities for services to be delivered virtually through technology innovation  Technology support to access virtual programs and services (e.g. internet access, devices)","The resident’s struggling with high TAX, we request to reduce TAX percentage to 1% like how UK are introduced. If TAX reduce there they will able to shopping.   Support small business such as food catering from home considering food handling and safety.  Youth services, programs and spaces.  Seniors' care and seniors programs.","The resident’s struggling with high TAX, we request to reduce TAX percentage. If TAX reduce then people will able to shopping.   No annual increase for rent.  Harm reduction or addiction supports  ","The only way to boost economic to encourage residents to open different types of small business by reducing rent of the stores.  Reduce TAX for the small business.   The problem is the price of the goods is sometimes acceptable, but when TAX added that increase the goods price, for that reason most of the residents avoid to do shopping.",Training and programs on how to speak to the City. ,"Increase friendly environmental products in market which with reasonable prices.     Supply market with energy efficiency Heater and Air Conditioning with reasonable prices.   Advertisement and visual awareness for 1Rs (Reduce, Reuse, and Recycle).  Community activities and allow residents to plant trees. ","Keeping virtual contact with resident’s community by emails and social media.  Provided foods during Muslim Holy Month “Ramadhan”.  Virtual meeting with seniors to check-in their needs and concern.  Circulating emails with resident include all contacts in case of emergency.  Collaboration of Health Access Thorncliffe Park, Michael Garron Hospital and East Toronto Family Practice Network for providing COVID-1 Testing Site.     ","Isolation is big issue in this crisis. Let people come out of their homes/isolation by issuing decisions by the government with collaboration with businesses like have your coffee, lunch or dinner with 1% price like what United Kingdom implementing during this time to break the people isolation.    Reduce TAX so people can buy their needs.  Forms trips or similar so benefits for both small business and communities.   Build more affordable houses, by implementing 1P contracts (Public and Private Partnerships)  That will create jobs.  People will start to buy their own houses and,  The results eliminating Mental Health problems, sadness, and anxiety.    ",,,,,
11775474881,2,M9V,,1,1,,,,,,1,,,,,,,,1,"Loss of income, no longer employed, feeling sad","Frequent transportation, access to facilities in building, parksm advocacy groups for women","Mental health support (therapy), sanitization of public spaces, job fairs, public transit at lower or free rate","Programs need more funding to continue supporting, maintain virtual support systems/spaces","Reallocation of ppublic funding, defunding the police, more money into public services, More affordable housing, job opportunities  ","Job fairs, give businesses extra money, not sure of what options are available. Accessibility to support resources. Respondent has noticed support efforts but unsure how it all works","Email available, number to call, youth respondents to communicate with in City Hall.","More solar pannels created for homes, park clean ups, ",Participated in local virtual events from grassroots orgs such as Sis To Sis Toronto,Mandatory masks in public ,,,,,
11743434714,10,,,,,,,,,,,1,,,,,,,,,,,"-Strengthen access to educational opportunities for technology, computer programs. Many residents are struggling to learn these new skills, which are more needed now with remote work, supporting distance learning. Even for basic jobs, technology is more important now and in particular for jobseekers this is a gap.    -The structure of social assistance programs (Ontario Works) needs to be changed. People need to be supported to get out of the workforce in a supported way. People are afraid to get part-time jobs because they lose OW benefits (casework, counselling, food, etc.). People should get a transition period where financial supports remain in place to support the transition. Need to build the social assistance system back BETTER.    -Cost of living in Toronto far exceeds what social assistance provides, need to be adjsuted more in line with reality    -Mental health supports need to be strengthened, significant impacts on mental health through COVID. Programs should promote mental health support to clients in all communications.     ","-1. Policing: better trained police officers, better solutions to ensure more effective, less violent strategies are used in particular for interactions with marginalized residents.    -2. Fix the bias in federal funding; programs are being set up to support students, CERB, etc. but these are all offering more support than what social assistance does. The federal and provincial governments need to develop programs and increase financial supports to help those who are unemployed. Will be particularly important as unemployment expected to rise due to impacts of COVID-1 (jobs lost, remote work, etc.).    -1. Housing, access to affordable housing. Without semi-secure housing for all residents, rebuilding and recovery will be impossible. ","-Invest more in employment supports.  -Increase supports and funding for self-employment programs.  -Facilitate a culture of respect: with COVID, more people are likely to experience poverty. The attitudes towards those in poverty, those who are unemployed are problematic and need to be changed. ",,,,,,,,,
